year,month,day,validity,causeCode,earthquakeMagnitude,locationCountry,locationName,locationLat,locationLong,maxWaterHeight,runups,numDeaths,numInjuries,descrDamage,numDestroyedHouses
1630,,,-1,1,*,INDONESIA,BANDA SEA,  -4.600,  129.900,,0,,,,
1631,12,17,3,4,*,ITALY,BAY OF NAPLES,  40.821,   14.426,,1,,,,
1633,3,1,4,1, 7.1,JAPAN,SAGAMI BAY,  35.200,  139.200,,3,,,2,
1633,5,14,3,1,*,CHILE,SOUTHERN CHILE, -41.800,  -73.800,,1,,,1,
1633,11,5,4,1, 6.9,GREECE,ISLAND OF ZAKYNTHOS,  37.600,   21.000,,2,,,1,
1634,3,,0,1, 5.5,CHINA,HUBEI PROVINCE,  30.700,  115.100,   1.00,1,,,,
1636,7,31,1,0,,EAST CHINA SEA,E. CHINA SEA-S.JAPAN,  35.100,  129.050,,1,,,,
1636,9,30,0,1, 7.2,GREECE,IONIAN SEA,  38.100,   20.300,,1,,,,
1638,3,27,2,1, 7.0,ITALY,TYRRHENIAN CALABRIA,  39.033,   16.283,,1,,,,
1638,,,-1,0,,PHILIPPINES,W. LUZON ISLAND,,,,0,,,,
1640,4,4,1,1,*,GERMANY,ROER VALLEY,  50.800,    5.700,,0,,,,
1640,7,31,4,6, 6.5,JAPAN,SE. HOKKAIDO ISLAND,  42.070,  140.680,,3,700,,1,20
1640,9,16,4,1,*,CHINA,SOUTH CHINA SEA,  23.000,  117.000,,4,,,,
1641,12,21,1,1,,PORTUGAL,AZORES,  38.400,  -28.100,,1,,,,
1642,9,4,4,1, 6.7,JAPAN,"BOSO, JAPAN",  35.200,  140.600,,1,,,,
1643,7,25,4,1, 6.5,SOUTH KOREA,SEA OF JAPAN,  35.500,  129.500,,1,,,,
1644,10,18,4,1, 6.9,JAPAN,"HONJO, AKITA",  39.400,  140.100,,1,117,,,
1645,11,30,1,1, 8.0,PHILIPPINES,W. LUZON ISLAND,  14.400,  121.000,,1,,,,
1646,4,5,4,1, 5.2,ITALY,LIVORNO,  43.550,   10.317,,1,,,,
1646,4,5,1,1,*,TURKEY,MARMARA SEA,  41.040,   28.980,,1,,,,
1646,6,9,1,1, 7.6,JAPAN,SANRIKU,  37.700,  141.700,,0,,,,
1647,5,7,2,1,*,PERU,S. PERU, -15.500,  -75.000,,2,14,,2,
1648,2,29,-1,0,,INDONESIA,BANDA SEA,,,,0,,,,
1649,1,,1,1, 5.0,ITALY,MESSINA STRAITS,  38.183,   15.550,,1,,,1,
1649,7,30,-1,0,*,JAPAN,TOKAIDO,,,,0,,,,
1649,12,9,4,1, 6.5,SOUTH KOREA,YELLOW SEA,  35.500,  126.000,,1,,,2,
1650,9,29,4,7,,GREECE,THERA ISLAND (SANTORINI),  36.404,   25.396,  30.00,7,,,1,
1650,12,13,1,9,,JAPAN,ECHIZEN (FUKUI),,,,1,21,,3,500
1651,,,2,3,*,PERU,PERU-NORTHERN CHILE,,,,1,,,,
